point,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,,17,,,18,,,19,,,20,,,21,,,22,,,23,,,24,,,25,,
Time,4m 26.036444s,,,7m 17.041068s,,,8m 53.781553s,,,10m 33.525494s,,,12m 0.04758s,,,13m 15.051657s,,,14m 47.04963s,,,16m 44.560768s,,,18m 8.646288s,,,19m 11.528384s,,,20m 41.135371s,,,21m 48.733624s,,,23m 4.19214s,,,24m 29.082969s,,,25m 55.545852s,,,28m 20.174672s,,,29m 45.065502s,,,30m 58.951965s,,,32m 36.419214s,,,33m 34.585153s,,,36m 7.074236s,,,37m 16.393285s,,,38m 31.8518s,,,39m 42.594158s,,,41m 12.201145s,,
Time in sec,266.036444,4,26.036444s,437.041068,7,17.041068s,533.781553,8,53.781553s,633.525494,10,33.525494s,720.04758,12,0.04758s,795.051657,13,15.051657s,887.04963,14,47.04963s,1004.560768,16,44.560768s,1088.646288,18,8.646288s,1151.528384,19,11.528384s,1241.135371,20,41.135371s,1308.733624,21,48.733624s,1384.19214,23,4.19214s,1469.082969,24,29.082969s,1555.545852,25,55.545852s,1700.174672,28,20.174672s,1785.065502,29,45.065502s,1858.951965,30,58.951965s,1956.419214,32,36.419214s,2014.585153,33,34.585153s,2167.074236,36,7.074236s,2236.393285,37,16.393285s,2311.8518,38,31.8518s,2382.594158,39,42.594158s,2472.201145,41,12.201145s
PHYS,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,
Pin 4,1442.72,3222.67,220.161,2202.76,2892.08,220.375,944.495,3257.02,220.365,944.998,3257.03,220.364,944.495,3257.02,220.497,944.082,3257.02,224.817,948.54,3257.28,225.491,2166.67,2903.69,445.073,1954.6,3035.32,406.556,1856.2,3084.53,388.699,1703.57,3132.81,507.633,1475.14,3207.71,423.891,1477.33,3207.04,424.618,2120.98,2895.2,660.379,943.198,3257.03,229.21,1870.2,2845.33,1173.44,1472.57,3151.88,774.792,1323.73,3212.29,625.63,1159.71,3250.23,460.432,937.177,3256.98,238.497,1570.81,2711.82,1571.07,1291.28,3125.21,990.822,1186.15,3202.42,773.394,1094.1,3242.95,582.199,929.469,3256.86,240.635
Boom Vertex 1,1043.8,2770.54,220.039,1652.47,2645.73,220.375,672.95,2718.66,220.476,673.304,2718.77,220.475,672.95,2718.66,220.442,676.791,2718.66,176.806,680.028,2719.55,177.352,1627.56,2651.63,349.746,1451.91,2714.9,316.189,1372.27,2735.47,301.706,1263.98,2753.01,346.625,1085.55,2770.19,281.25,1087.24,2770.12,281.847,1604.83,2647.09,471.387,688.087,2718.66,135.903,1474.9,2620.99,777.154,1149.71,2758.85,451.246,1033.87,2770.47,335.231,909.246,2762.41,209.184,745.19,2718.66,46.3545,1318.97,2546.82,1049.22,1086.09,2750.45,565.398,1003.83,2769.66,395.148,933.499,2766.6,249.238,811.751,2718.19,-3.25208
Boom Vertex 2,1212.65,3042.85,219.924,1918.61,2823.73,220.375,767.466,3024.86,220.437,767.935,3024.94,220.437,767.466,3024.86,220.416,769.826,3024.86,193.471,773.759,3025.53,194.156,1888.04,2832.32,394.587,1687.28,2928.12,358.53,1595.19,2962.01,341.781,1462.65,2993.57,419.394,1253.23,3036.32,342.645,1255.23,3036,343.332,1854.65,2825.72,562.859,776.898,3024.9,168.392,1668.13,2788.21,970.713,1294.27,3005.38,596.179,1157.89,3038.37,459.737,1009.89,3049.49,310.927,811.698,3024.78,113.244,1444.76,2684.74,1309.82,1178.98,2988.8,758.344,1082.9,3033.66,558.755,999.29,3049.01,385.636,852.337,3024.5,81.491
Pin 6,2805.88,3810.04,218.838,3686.37,2862.85,219.369,2114.65,4170.04,219.886,2115.46,4169.9,219.885,2114.68,4170.18,220.049,2095.93,4170.18,431.603,2102.38,4168.02,432.364,3627.62,2889.28,707.001,3405.37,3211.95,667.462,3294.17,3344.72,647.156,3057.29,3486.65,1003.41,2774.15,3745.84,899.502,2776.96,3743.08,900.622,3514.53,2869.65,1170.63,2042.38,4170.18,631.172,2917.04,2756.69,2222.57,2483.12,3546.36,1788.36,2296.65,3764.72,1601.37,2079.6,3963.99,1382.12,1764.66,4170.47,1066.37,2207.84,2469.79,2890.31,1918.79,3463.21,2292.66,1790,3724.41,2024.74,1669.08,3914.97,1774.25,1437.48,4171.9,1293.36
Pin 5,2898.97,4245.96,218.775,4019.99,3158.98,219.278,2044.11,4610.16,219.915,1909.18,4565.02,220.23,2059.85,4612.54,220.064,2042.46,4612.63,421.593,1879.04,4551.68,392.825,3952.75,3188.5,765.461,3595.57,3613.4,702.184,3486.5,3745.34,681.708,3218.21,3898.32,1062.16,2851.83,4183.76,927.842,2797.05,4188.3,907.901,3810.09,3185.4,1278.83,1997.04,4613.3,614.632,3159.96,3039.18,2466.77,2550.62,3981.75,1856.08,2279.94,4209.81,1584.38,2055.7,4408.45,1357.91,1674.84,4597.6,975.488,2368.36,2716.01,3224.13,1977.58,3887.51,2415.65,1768.09,4167.21,1979.42,1674.94,4360.51,1786.41,1389.4,4603.88,1194.5
Pin 7,3290.03,3407.63,218.508,3838.67,2251.84,220.375,2711.49,3969.59,219.642,2745.06,4168.76,219.628,2703.98,3948.63,219.888,2675.76,3947.66,535.256,2721.36,4199.8,543.693,3782.49,2279.68,735.336,3774.24,2706.28,734.385,3661.38,2837.89,713.634,3435.99,3002.79,1142.01,3237.78,3355.8,1069.31,3287.23,3423.96,1087.07,3691.37,2268.95,1235.41,2592.63,3939.89,832.402,3006.12,2140.07,2312.51,2823.99,3141.81,2129.92,2701,3502.82,2006.14,2488.02,3714.65,1791.27,2202.01,4050.54,1502.63,2234.41,1843.47,2947.65,2110.52,3014.01,2690.1,2044.88,3497.88,2554.12,1907.22,3605.75,2268.26,1702.86,4025.54,1844.99
Pin 8,3267.85,2116.92,218.414,3056.45,1225.47,220.374,3156.81,2757.94,219.46,3551.02,3160.47,219.782,3105.74,2721.89,219.778,3069.91,2720.27,605.858,3566.03,3236.53,695.775,3021.88,1245.66,598.501,3452.48,1457.9,679.966,3334.24,1590.47,654.335,3194.75,1737.7,1053.79,3246.04,2064.93,1072.52,3461.94,2147.45,1151.15,3016.15,1196.59,991.94,2952.79,2707.32,964.1,2424.87,1145.63,1729.66,2803.12,1851.25,2108.86,2923.95,2251.17,2230.15,2730.75,2470.18,2034.07,2624.93,2907.81,1927.88,1835.22,937.04,2119.72,2044.38,1732.13,2553.11,2214.91,2267.93,2907.22,1998.28,2331.92,2456.88,1942.87,2858.73,2342
Pin 10,3434.76,2435.93,219.346,3393.44,1100.18,220.375,3442.33,2976.95,219.343,3909.13,3198.68,219.687,3324.46,3007.82,219.718,3286.08,3005.49,644.593,3919.46,3265.85,759.203,3356.46,1127.16,658.671,3806.45,1476.54,739.607,3678.39,1676.25,716.165,3517.57,1844,1172.05,3579.34,2126.04,1194.47,3797.05,2097.03,1273.7,3337.69,1084.72,1105.59,3101.29,3030.33,1018.51,2626.61,925.272,1931.3,3056.41,1856.01,2363.8,3159.22,2111.32,2465.01,2982.36,2523.45,2285.98,2862.45,3036.22,2165.77,1930.95,652.685,2318.3,2187.35,1873.31,2851.23,2365.81,2177.27,3220.99,2130.08,2525.72,2730.18,1976.05,3210.9,2409.61
Pin 9,3316.25,1896.95,218.49,2964.64,1019.57,219.566,3281.33,2570.09,219.856,3728.67,3022.01,219.226,3223.45,2529.6,218.867,3185.12,2528.08,626.959,3747.9,3107.58,727.331,2933.78,1038.95,582.671,3447.6,1232.41,675.012,3328.36,1365.02,653.266,3201.76,1512.6,1056.38,3296.01,1846.2,1090.8,3539.92,1937.24,1179.75,2942.26,985.095,960.786,3060.22,2513.3,1003.54,2354.32,943.614,1658.51,2836.36,1631.01,2141.79,2997.81,2051.09,2303.44,2807.68,2272.6,2110.74,2729.12,2738.14,2032.63,1783.35,746.351,2012.56,2055.64,1508.06,2577.03,2264.95,2074.81,3011.59,2036.07,2124.04,2535.76,2004.81,2682.98,2468.89
Point G,3316.25,1896.95,219.394,2964.64,1019.58,220.374,3281.55,2570.09,219.409,3728.51,3022.01,219.734,3223.45,2529.58,219.746,3185.12,2528.11,626.525,3747.72,3107.58,727.331,2934.43,1038.95,582.258,3447.42,1232.41,675.012,3328.17,1365.02,653.316,3201.96,1512.6,1055.94,3296.5,1846.21,1090.8,3539.92,1937.24,1179.78,2942.26,985.095,960.786,3060.12,2513.28,1003.54,2354.51,943.614,1658.51,2835.48,1631.02,2141.73,2997.5,2051.09,2303.44,2807.2,2272.6,2110.74,2729.12,2738.16,2031.88,1783.62,746.349,2012.08,2054.94,1508.06,2576.47,2265.05,2074.81,3011.88,2036.07,2124.04,2535.11,2004.97,2682.99,2468.87
Point H,3475.83,2103.49,219.329,3166.21,853.336,220.374,3528.86,2653.27,219.789,3936.91,2864.87,219.677,3429.76,2689.86,219.69,3388.78,2687.45,663.523,3937.29,2931.38,762.409,3136.63,878.081,619.432,3694.81,1161.18,719.46,3585.13,1354.8,699.934,3446.8,1517.73,1146.13,3536.66,1794.2,1178.67,3728.71,1770.88,1248.72,3137.24,826.938,1032.24,3213.09,2717.6,1059.34,2442.25,714.106,1747.55,3005.37,1528.1,2311.8,3060.97,1805.83,2367.03,2982.25,2188.56,2285.67,2912.44,2708.39,2216.47,1804.41,489.417,2053.93,2168.06,1541.69,2809.62,2325.92,1854.83,3138.39,2145.53,2192.47,2762.07,2049.57,2923.02,2562.8
Point Q,4000.44,2136.57,219.023,3183.24,327.869,220.374,3983.78,2389.83,219.665,3977.11,2340.65,219.124,3945.9,2590.78,219.962,3896.6,2586.25,754.105,3926.44,2404.9,763.998,3165.96,353.155,624.296,3917.23,686.343,759.442,3911.52,946.752,758.044,3780.18,1130.06,1268.26,3781.95,1337.66,1268.55,3741.85,1245.5,1253.41,3171.72,302.403,1044.66,3706.25,2741.77,1239.73,2313.94,220.892,1618.41,3121.7,1028.87,2428.22,2882.8,1345.04,2188.01,3124.69,1702.97,2428.8,3124.22,2276,2428.82,1663.1,76.5971,1761.14,2339.57,1194.27,3165.5,2262.23,1349.83,3007.02,2336.04,1902.25,3156.94,2267.06,3084.08,3013.82
Point Q Left,4000.34,2136.68,-86.9773,3183.74,327.929,-84.6255,3983.4,2389.59,-85.3353,3976.74,2340.91,-85.8768,3945.86,2589.91,-85.0381,3950.38,2586,453.891,3980.77,2405.8,459.795,3218.91,353.032,324.111,3971.36,686.592,459.259,3965.32,946.752,457.854,3885.1,1130.06,981.865,3886.92,1337.73,982.15,3847.09,1245.5,966.992,3276.62,302.353,758.238,3811.12,2741.66,953.293,2530.35,220.913,1403.05,3337.38,1029.69,2212.87,3098.71,1345.04,1972.66,3339.85,1702.77,2213.27,3339.92,2276,2213.2,1937.63,76.9822,1628.66,2614.3,1194.7,3033.03,2536.98,1349.83,2874.55,2610.76,1902.25,3024.44,2542.55,3083.34,2881.23
Point Q Right,4000.5,2136.57,524.114,3182.81,327.503,525.375,3983.72,2389.43,524.665,3976.23,2341.16,524.666,3945.96,2590.54,524.962,3842.55,2586.48,1054.33,3872.89,2405.8,1060.14,3111.24,353.237,924.417,3863.19,686.739,1059.15,3857.41,947.445,1058.2,3675.53,1130.16,1554.63,3676.71,1337.54,1554.9,3636.72,1245.37,1539.83,3067.41,302.353,1331.17,3601.27,2741.77,1527.15,2098.04,220.86,1834.64,2905.4,1029.69,2643.81,2665.9,1345.01,2403.62,2908.64,1703.18,2643.93,2908.16,2276,2644.73,1388.03,76.9822,1893.77,2064.91,1194.7,3297.97,1987.48,1349.83,3139.49,2061.29,1901.83,3289.2,1993.32,3083.6,3146.4
Point Z,4093.59,1896.5,217.96,2939.87,241.616,220.374,3927.71,2138.04,219.144,3737.84,2244.96,219.222,3975.81,2334.78,219.958,3925.38,2330.63,759.263,3683.8,2332.97,716.374,2928.41,261.639,581.815,3732.35,511.017,726.235,3772.36,732.226,733.016,3660.05,907.032,1224.05,3618.52,1148.13,1208.61,3512.3,1161.17,1169.32,2947.54,207.689,962.489,3790.04,2500.22,1270.39,2132.36,232.635,1436.64,2974.32,878.874,2281.55,2703.1,1394.75,2009.35,2985.45,1537.3,2289.18,3012.61,2071.91,2318.23,1557.91,167.897,1544.26,2293.72,958.985,3071.94,2150.93,1343.31,2775.14,2305.81,1654.25,3093.07,2331.94,2873.63,3147.65
Point Z Left,4093.42,1896.59,-87.0399,2940.68,242.065,-84.2246,3927.44,2138.04,-85.8555,3737.33,2244.96,-85.7784,3975.83,2335.03,-85.0422,3979.13,2330.38,459.05,3737.13,2332.28,416.079,2981.95,261.639,281.177,3786.2,510.798,425.469,3826.03,732.007,432.899,3765.01,907.36,937.671,3723.11,1148.13,922.128,3617.98,1160.45,883.162,3052.16,208.244,675.928,3894.39,2500.22,983.937,2348.34,232.928,1220.48,3190.84,878.108,2065.91,2919.28,1393.97,1793.75,3201.18,1537.09,2073.35,3228.08,2071.91,2102.54,1832.66,167.694,1411.44,2569.21,958.579,2940.17,2425.2,1343.31,2643.32,2580.1,1654.56,2960.8,2607.42,2872.5,3016.1
Point Z Right,4093.8,1896.47,522.402,2940.85,242.073,525.375,3927.64,2138.21,524.68,3737.62,2244.95,524.731,3975.88,2334.79,524.958,3871.61,2330.88,1059.48,3629.45,2332.24,1016.42,2874.11,261.642,881.88,3678.28,510.798,1026.42,3718.07,732.14,1032.66,3555.28,908.118,1510.46,3513.46,1147.95,1494.91,3408.25,1160.44,1456.01,2842.34,208.244,1248.77,3684.82,2500.1,1556.84,1916.41,232.928,1651.83,2759.01,877.716,2496.6,2487.47,1393.97,2224.48,2769.67,1537.33,2504.39,2796.62,2071.91,2533.44,1283.16,167.694,1676.2,2019.75,958.579,3204.76,1875.71,1343.31,2908.11,2030.67,1654.86,3225.81,2058.12,2873.07,3280.06
Point J1,4021.6,1594.94,217.458,2641.12,323.206,220.374,3700.47,1927.5,219.742,3434.7,2313.42,219.814,3830.44,2060.69,219.977,3781.18,2057.02,733.514,3393.11,2429.28,664.227,2632.27,335.737,528.415,3429.58,465.325,671.967,3489.78,615.775,681.673,3396.74,774.527,1127.81,3333.61,1079.97,1104.53,3232.59,1243.33,1066.95,2663.28,277.52,858.547,3717.46,2199.76,1244.04,1958.07,420.217,1261.76,2755.18,871.233,2061.78,2550.78,1615.76,1855.96,2767.32,1507.24,2070.52,2803.56,1977.1,2109.07,1481.7,422.504,1384.76,2180.21,796.014,2834.72,2038.24,1512.9,2541.81,2200.68,1458.11,2877.76,2334.51,2563.09,3151.19
Point J Prime,3954.28,1312.87,218.055,2361.14,398.777,220.374,3487.97,1730.1,219.8,3153.45,2376.91,219.461,3694.87,1804.66,219.996,3646.95,1801.29,709.396,3122.33,2520.03,615.716,2354.91,404.743,478.593,3147.22,423.215,621.064,3224.94,506.725,634.58,3150.71,649.928,1037.68,3068.65,1012.28,1007.31,2969.81,1321.27,970.809,2397.99,343.144,761.584,3650.17,1918.57,1219.03,1795.62,595.695,1097.84,2550.43,865.269,1856.45,2408.28,1816.37,1712.83,2563.31,1479.25,1866.62,2608.69,1888.38,1913.41,1409.77,660.871,1236.25,2072.38,643.938,2611.78,1932.51,1671.84,2322.36,2104.24,1273.27,2675.89,2336.23,2273.03,3155.4
Point J Prime Left,3954.22,1312.87,-86.9454,2361.47,398.778,-84.6255,3487.82,1730.1,-85.6755,3152.94,2376.91,-85.5389,3694.44,1804.66,-84.5001,3700.36,1801.29,409.687,3175.52,2520.06,315.021,2408.55,404.743,178.529,3201.7,423.212,320.88,3278.65,506.723,334.49,3256.09,649.928,751.019,3173.82,1016.28,720.908,3074.67,1321.27,684.371,2503.56,343.144,475.163,3754.95,1918.57,932.535,2011.49,595.7,882.34,2766.39,865.269,1640.78,2624.18,1824.36,1497.3,2778.81,1479.25,1650.53,2823.92,1888.39,1698.2,1684.57,660.871,1104.26,2347.38,643.952,2479.88,2207.26,1671.84,2189.9,2379.3,1273.27,2543.67,2610.9,2273.05,3023.13
Point J Prime Right,3954.44,1312.87,523.055,2361.57,398.567,524.73,3488.05,1730.5,524.8,3152.6,2377.35,524.891,3694.51,1804.66,524.996,3593.25,1802.41,1009.64,3067.65,2519.68,916.285,2300.64,404.743,778.756,3093.81,423.056,921.369,3171.43,506.778,934.922,3045.68,649.928,1323.83,2963.89,1015.86,1293.57,2865.93,1321.27,1257.24,2293.52,342.84,1048.01,3545.46,1919.07,1504.77,1579.36,596.138,1314.27,2335.07,865.269,2071.84,2192.17,1823.92,1927.87,2347.52,1479.34,2081.55,2393.21,1888.07,2129.09,1135.07,660.871,1368.59,1798.32,644.281,2744.89,1658.36,1671.84,2454.99,1829.95,1273.27,2808.95,2060.54,2272.55,3287.57
Point J,3954.31,1312.87,218.133,2361.57,399.447,219.374,3487.96,1730.43,219.324,3152.48,2376.33,219.461,3694.48,1804.82,219.996,3647.11,1801.29,709.905,3121.47,2520.03,619.716,2354.6,404.743,478.63,3147.76,422.925,621.11,3225.4,506.795,634.605,3150.54,649.282,1037.43,3068.7,1016.37,1007.42,2970.79,1320.88,970.808,2398.38,342.535,761.468,3650.21,1919.68,1218.79,1795.33,596.138,1098.59,2551.04,864.818,1863.88,2408.07,1824.19,1712.7,2563.3,1479.34,1866.4,2608.92,1888.71,1913.48,1409.82,660.871,1236.44,2073.05,644.281,2611.78,1933.09,1671.84,2322.53,2104.65,1273.41,2677.01,2335.27,2273.4,3154.76
Fence Wall Forward,4094.35,1896.82,524.502,4094.13,1896.82,524.509,4094.13,1896.82,524.509,4094.13,1896.82,524.509,4094.13,1896.82,524.509,4094.06,1896.82,525.63,4093.99,1896.82,525.071,4094.13,1896.82,525.071,4093.99,1896.82,525.067,4094.06,1896.82,525.067,4093.99,1896.82,525.625,4093.99,1896.82,525.625,4093.99,1896.82,525.625,4093.99,1896.82,525.625,4093.99,1896.82,525.632,4093.99,1896.82,526.735,4093.99,1896.82,526.738,4093.85,1896.82,526.738,4093.77,1896.82,527.3,4093.85,1896.82,526.742,4093.99,1896.82,527.3,4093.77,1896.82,527.3,4093.77,1896.82,527.3,4093.77,1896.82,528.414,4093.85,1896.82,527.304
Bench Point 1,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932
