Project,Test,Test,,,,,,,,
File,5-4-26 Circle Center c1-c9,,,,,,,,,
Kinetic Engine Trans Point Array Data,,,,,,,,,,
Point J,Y,4523.98,4523.8,4523.98,4524.16,4522.7,4523.34,4523.2,4523.16,4523.52
Bench Point 1,Y,692.224,692.224,692.224,692.224,692.224,692.224,692.224,692.224,692.224
Swing Center,Z,-5.70E-05,-5.70E-05,-5.70E-05,-5.70E-05,-5.70E-05,-5.70E-05,-5.70E-05,-5.70E-05,-5.70E-05
Pin 15,Z,558.994,428.135,102.773,-274.077,-524.517,-526.851,-282.804,103.669,427.003
Pin 12,Z,-373.591,-848.844,-921.101,-567.474,58.6813,649.178,939.8,779.801,267.557
Pin 2,Z,-432.863,-1118.15,-1271.1,-836.904,-1.58237,823.163,1268.56,1106.7,441.606
Pin 14,Z,-108.308,-774.889,-1068.03,-869.884,-257.314,467.286,978.198,1024.19,596.801
Pin 1,Z,-397.3,-956.567,-1061.1,-675.246,34.5774,718.88,1071.3,910.648,337.309
Pin 3,Z,-429.471,-1102.9,-1251.69,-821.485,1.59019,813.607,1250.33,1088.58,432.043
Pin 4,Z,-377.599,-867.259,-945.566,-585.587,54.3372,661.297,963.031,802.787,279.227
Boom Vertex 1,Z,-331.512,-658.728,-674.024,-376.826,101.093,526.034,707.894,549.457,144.265
Boom Vertex 2,Z,-347.481,-731.453,-768.539,-449.488,84.7999,573.064,796.714,637.744,191.334
Pin 6,Z,-575.904,-1768.07,-2115.74,-1486.21,-147.359,1243.96,2062.18,1894.99,862.235
Pin 5,Z,-501.199,-1429.22,-1675.37,-1146.64,-71.9366,1024.9,1648.57,1484.13,642.944
Pin 7,Z,-610.236,-1923.93,-2317.43,-1642.08,-182.276,1345.05,2252.07,2084.36,963.65
Pin 8,Z,-815.667,-2856.74,-3530.44,-2575.54,-391.331,1949.11,3391.56,3217,1568.58
Pin 10,Z,-850.904,-3016.78,-3738.32,-2735.57,-427.18,2052.69,3586.91,3411.21,1672.22
Pin 9,Z,-847.341,-3001.6,-3718.01,-2719.94,-423.804,2042.78,3568.55,3392.21,1661.34
Point G,Z,-847.527,-3001.36,-3717.98,-2719.94,-423.777,2041.93,3568.55,3392.21,1661.42
Point H,Z,-889.97,-3195.05,-3968.66,-2913.72,-468.127,2166.45,3803.96,3626.61,1786.53
Point Q,Z,-927.736,-3365.91,-4191.86,-3085.44,-507.293,2277.35,4013.1,3834.81,1897.38
Point Q Left,Z,-627.141,-3171.09,-4190.13,-3280.12,-805.719,2012.79,3908.4,3944.08,2161.85
Point Q Right,Z,-1228.33,-3561.45,-4192.5,-2890.7,-204.936,2543.06,4117.81,3725.35,1633.1
Point Z,Z,-894.61,-3220.28,-4002.59,-2939.31,-472.722,2184.29,3835.61,3658.49,1804.35
Point Z Left,Z,-594.002,-3025.48,-4000.07,-3134.41,-773.161,1919.17,3730.59,3766.53,2067.84
Point Z Right,Z,-1196.28,-3415.09,-4004.21,-2745.4,-172.294,2463.58,3940,3548.66,1538.9
Point J1,Z,-843.713,-2984.12,-3695.67,-2703.76,-419.844,2030.3,3547.05,3371.42,1650.48
Point J Prime,Z,-795.071,-2763.87,-3408.62,-2482.73,-370.368,1887.44,3277.6,3103.37,1507.45
Point J Prime Left,Z,-494.477,-2569.07,-3406.95,-2677.11,-670.798,1623.69,3172.14,3212.76,1771.7
Point J Prime Right,Z,-1095.67,-2958,-3410.24,-2287.08,-69.8542,2151.8,3381.26,2994.07,1242.98
Point J,Z,-794.165,-2763.2,-3409.01,-2482.21,-370.284,1887.25,3277.73,3103.37,1508.24
Bench Point 1,Z,221.932,221.932,221.932,221.932,221.932,221.932,221.932,221.932,221.932
